symbol,side,qty,entry_price,exit_price,closed_pnl,leverage,close_time_ms,close_time_utc,order_id,exec_type
BNBUSDT,SELL,0.11,611.8,606.8,-0.684046,10.0,1775949033649,2026-04-11T23:10:33.649000+00:00,fce0afc6-8c3d-44fa-9345-b74811626571,Trade
LINKUSDT,SELL,7.1,9.17969015,9.092,-0.752329,10.0,1775949916811,2026-04-11T23:25:16.811000+00:00,171b98c6-c81c-4405-8843-183eccbec970,Trade
DOGEUSDT,SELL,701.0,0.09359,0.09293,-0.59993193,10.0,1775953528522,2026-04-12T00:25:28.522000+00:00,07ce2b82-1f28-492a-97b6-d282338f56bc,Trade
ETHUSDT,SELL,0.02,2285.09,2251.01,-0.74720127,10.0,1775957788825,2026-04-12T01:36:28.825000+00:00,a6a1d4c1-99dc-424b-a9e6-bbd1b7e017dd,Trade
XRPUSDT,SELL,47.3,1.3555,1.3405,-0.84342522,10.0,1775958042871,2026-04-12T01:40:42.871000+00:00,8d629e98-94d0-43e6-ac8b-a183aad1e9f4,Trade
BTCUSDT,BUY,0.001,72198.6,71591.3,0.5097172,10.0,1775958812552,2026-04-12T01:53:32.552000+00:00,25e114b7-65d0-41f6-8c92-8dae12388dd6,Trade
ARIAUSDT,SELL,80.0,0.78907,0.81105,1.63288021,10.0,1775960660371,2026-04-12T02:24:20.371000+00:00,52cfca7c-e501-4d7e-9ca6-727609f9a964,Trade
SOONUSDT,SELL,437.0,0.14238,0.14659695,1.7563479,10.0,1775963159345,2026-04-12T03:05:59.345000+00:00,1ac1bcaa-c931-45a2-ac7a-fd56472b394c,Trade
ENJUSDT,SELL,5089.1,0.03188177,0.03251628,3.10427469,20.0,1775966718477,2026-04-12T04:05:18.477000+00:00,21f21d3d-0ed9-4b22-b260-610727efb689,Trade
RAVEUSDT,BUY,34.0,2.05168,2.008315,1.37139616,10.0,1775967619914,2026-04-12T04:20:19.914000+00:00,372027b7-da63-4e48-877d-aff0ecb3e24c,Trade
ADAUSDT,BUY,263.0,0.244,0.2434,0.0296138,10.0,1775971812516,2026-04-12T05:30:12.516000+00:00,1c304e6f-8634-424e-937d-25b327d9f3f5,Trade
SIRENUSDT,SELL,88.0,0.74592,0.77513818,2.46991022,5.0,1775972702835,2026-04-12T05:45:02.835000+00:00,ef2fadfa-445f-43ed-9508-54932d9289f9,Trade
ENJUSDT,SELL,2192.0,0.03209878,0.03151245,-1.42636865,10.0,1775973931843,2026-04-12T06:05:31.843000+00:00,8895426f-e3f6-46aa-88f0-86772b02bdac,Trade
TAOUSDT,BUY,0.255,262.27,261.61,0.07751306,10.0,1775977770182,2026-04-12T07:09:30.182000+00:00,5993a2ff-d82d-491c-a9b0-10b69f97bfcc,Trade
DOGEUSDT,BUY,781.0,0.09142,0.09116,0.05595468,10.0,1775992405657,2026-04-12T11:13:25.657000+00:00,11639d78-202e-41c0-8737-5010bdd15f33,Trade
BNBUSDT,BUY,0.11,594.7,595.1,-0.18249052,10.0,1775995090499,2026-04-12T11:58:10.499000+00:00,5afd979d-1099-4938-b575-d6535189f7e3,Trade
ENJUSDT,SELL,6136.4,0.03259224,0.03970506,43.8452953,20.0,1775996469368,2026-04-12T12:21:09.368000+00:00,7cb6d3b2-c736-4412-a700-7be948448894,Trade
ZECUSDT,SELL,0.54,367.14,366.15,-0.80369303,25.0,1775997042328,2026-04-12T12:30:42.328000+00:00,9f6f4940-0c5e-4ed4-88a8-d7d6dd839a80,Trade
LINKUSDT,BUY,8.1,8.775,8.796,-0.2669355,10.0,1775997043083,2026-04-12T12:30:43.083000+00:00,4f145698-1943-448f-98e0-40c35c82cb91,Trade
DASHUSDT,SELL,2.66,43.22,43.17,-0.3627974,10.0,1775997043839,2026-04-12T12:30:43.839000+00:00,36807747-4fb1-4e45-ba4d-21fb2a0d5a12,Trade
DOGEUSDT,BUY,623.0,0.09128,0.09065,0.27914761,10.0,1776002424455,2026-04-12T14:00:24.455000+00:00,7a9fcc92-5877-4c66-9b92-8c7222d18000,Trade
ADAUSDT,BUY,236.0,0.2403,0.2379,0.4535448,10.0,1776002424455,2026-04-12T14:00:24.455000+00:00,48178184-d811-40dc-85e6-5e1c859bbbb1,Trade
TAOUSDT,BUY,0.434,261.99,261.67,-0.01561811,10.0,1776002424456,2026-04-12T14:00:24.456000+00:00,dad0615c-60b8-481d-a931-16d96f2779b6,Trade
